id,code,name,note,user_type:id,chart_template_id:id,reconcile
account_template_1,1,ATIVO, ,account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101,1.01,CIRCULANTE, ,account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_10101,1.01.01,DISPONIBILIDADES, ,account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010100,1.01.01.01.00,Caixa,"Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda não depositados, pagáveis irrestrita e imediatamente.",account.data_account_type_liquidity,l10n_br_account_chart_template
account_template_101010200,1.01.01.02.00,Bancos,"Contas que registram disponibilidades, mantidas em instituições financeiras, não classificáveis em outras contas deste plano referencial.",account.data_account_type_liquidity,l10n_br_account_chart_template
account_template_101010300,1.01.01.03.00,Recursos no Exterior Decorrentes de Exportação,"Contas que registram movimentação de recursos em instituições financeiras no exterior, nos termos do art. 1o. da Lei no 11.371/2006.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010400,1.01.01.04.00,Contas Bancárias – Subvenções,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de recursos de aplicações vinculadas ao objeto das subvenções, mantidas em instituições financeiras.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010500,1.01.01.05.00,Contas Bancárias – Doações,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de recursos de aplicações vinculadas ao objeto das doações, mantidas em instituições financeiras.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010600,1.01.01.06.00,Contas Bancárias – Outros Recursos Sujeitos a Restrições,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de outros recursos sujeitos a restrições, mantidas em instituições financeiras.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010701,1.01.01.07.01,Valores Mobiliários - Mercado de Capitais Interno,"Contas que registram as aplicações no mercado de capitais do Brasil, de recursos de livre movimentação, cujo vencimento ou resgate venha a ocorrer no curso do ano-calendário subseqüente.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010702,1.01.01.07.02,Valores Mobiliários - Mercado de Capitais Externo,"Contas que registram as aplicações no mercado de capitais do exterior, de recursos de livre movimentação, cujo vencimento ou resgate venha a ocorrer no curso do ano-calendário subseqüente.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010800,1.01.01.08.00,Valores Mobiliários – Aplicações de Subvenções  ,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de recursos oriundos de subvenções.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101010900,1.01.01.09.00,Valores Mobiliários – Aplicações de Doações,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de recursos oriundos de doações.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101011000,1.01.01.10.00,Valores Mobiliários – Aplicações de Outros Recursos Sujeitos a Restrições,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de outros recursos sujeitos a restrições.",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101011100,1.01.01.11.00,Outras, ,account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_10103,1.01.03,ESTOQUES, ,account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101030101,1.01.03.01.01,Mercadorias para Revenda,"Contas que registram o valor do saldo das contas de estoques de mercadorias para revenda, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979. ",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101030102,1.01.03.01.02,Insumos (materiais diretos),"Contas que registram o valor do saldo das contas de estoques de matérias primas e materiais diretos, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979. ",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101030103,1.01.03.01.03,Produtos em Elaboração,"Contas que registram o valor do saldo das contas de estoques de produtos em elaboração, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979. ",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101030104,1.01.03.01.04,Produtos Acabados,"Contas que registram o valor do saldo das contas de estoques de produtos acabados, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979. ",account.data_account_type_current_assets,l10n_br_account_chart_template
account_template_101030105,1.01.03.01.05,Serviços em andamento,"Contas que registram o valor do saldo das contas de serviços em andamento, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979. ",account.data_account_type_current_assets,l10n_br_account_chart_template
